application_type,usia,masa_kerja,golongan_jabatan,status_kepegawaian,gaji_bulanan,jumlah_tanggungan,riwayat_kredit,keputusan_kredit,omzet_usaha,lama_usaha,sektor_ekonomi,lokasi_usaha,riwayat_pinjaman,jenis_penggunaan_kredit,jenis_jaminan,sumber_dana_pengembalian,plafond_pengajuan,jangka_waktu_kredit,collateral_details
UMKM/Pengusaha,,,,,,,,Layak,123568747.48,7.0,Jasa,Pedesaan,Ada,Konsumsi,Deposito,Lain-lain,417999175.62,65,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quibusdam""}"
UMKM/Pengusaha,,,,,,,,Layak,128164218.96,10.0,Jasa,Pedesaan,Tidak Ada,Konsumsi,Persediaan,Tambahan Modal,187866696.7,20,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""provident""}"
Pegawai,30.0,7.0,Administrasi,Outsource,22292507.89,1.0,Pernah Macet,Layak,,,,,,Pembelian Kendaraan,Tidak Ada,Bonus,26218323.92,61,
UMKM/Pengusaha,,,,,,,,Layak,89847254.63,14.0,Pertanian,Bantul,Ada,Modal Kerja,Persediaan,Usaha Sendiri,332420238.13,8,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""ullam""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,28376396.81,14.0,Kerajinan,Pedesaan,Tidak Ada,Investasi,Persediaan,Lain-lain,224217428.58,54,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""explicabo""}"
Pegawai,56.0,18.0,Staf Pelaksana,Tetap,16719077.81,3.0,Ada,Pertimbangkan,,,,,,,Kendaraan,,348307793.59,45,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2003, ""atas_nama_kendaraan"": ""Queen Hastuti"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Tidak Layak,14686263.16,10.0,Lainnya,Pinggir Kota,Pernah Macet,Modal Kerja,Deposito,Penjualan Aset,379634439.34,61,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""magni""}"
Pegawai,56.0,20.0,Staf Pelaksana,Tetap,27023149.94,0.0,Tidak Ada,Layak,,,,,,Lain-lain,Persediaan,Pendapatan Lain,351028209.09,26,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""commodi""}"
Pegawai,54.0,30.0,Staf Senior,Kontrak,19093578.13,3.0,Ada,Pertimbangkan,,,,,,Pendidikan,Kendaraan,Gaji,272284978.96,69,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2000, ""atas_nama_kendaraan"": ""Uda Laksmiwati"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,46.0,3.0,Administrasi,Kontrak,5601816.22,5.0,Ada,Tidak Layak,,,,,,,Deposito,,268980072.37,6,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""necessitatibus""}"
UMKM/Pengusaha,,,,,,,,Layak,82536778.76,7.0,Lainnya,Pedesaan,Ada,Investasi,Persediaan,Tambahan Modal,143942259.66,29,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""ut""}"
UMKM/Pengusaha,,,,,,,,Layak,78449315.7,15.0,Lainnya,Pusat Kota,Tidak Ada,Renovasi,Tidak Ada,Penjualan Aset,401409963.19,9,
Pegawai,59.0,23.0,Staf Pelaksana,Kontrak,23390734.71,3.0,Pernah Macet,Pertimbangkan,,,,,,Konsumsi,Tidak Ada,Pendapatan Lain,380177940.07,26,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,80312802.93,4.0,Manufaktur,Bantul,Pernah Macet,Konsumsi,Kendaraan,Penjualan Aset,31409796.38,66,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2001, ""atas_nama_kendaraan"": ""T. Radika Susanti, S.Kom"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,50.0,9.0,Staf Pelaksana,Outsource,10384748.48,3.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Tidak Ada,Lain-lain,448992042.62,56,
Pegawai,40.0,24.0,Staf Pelaksana,Outsource,20819132.81,3.0,Ada,Pertimbangkan,,,,,,,Persediaan,,349073172.67,40,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""perferendis""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,61460403.08,5.0,Manufaktur,Bantul,Pernah Macet,Renovasi,Piutang,Tambahan Modal,487730453.75,29,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""natus""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,82178801.97,6.0,Transportasi,Pusat Kota,Pernah Macet,Konsumsi,Tidak Ada,Usaha Sendiri,428370866.36,54,
UMKM/Pengusaha,,,,,,,,Layak,96026245.4,13.0,Pertanian,Pedesaan,Tidak Ada,Investasi,Deposito,Penjualan Aset,181627487.43,36,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""molestias""}"
UMKM/Pengusaha,,,,,,,,Layak,98361010.14,8.0,IT,Sleman,Ada,Pembelian Aset,Tanah/Bangunan,Usaha Sendiri,65984260.5,22,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""cupiditate""}"
Pegawai,50.0,20.0,Supervisor,Tetap,4959536.37,3.0,Ada,Pertimbangkan,,,,,,,Deposito,,294310570.48,39,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quibusdam""}"
UMKM/Pengusaha,,,,,,,,Layak,165707437.51,8.0,Kerajinan,Pusat Kota,Ada,Modal Kerja,Deposito,Lain-lain,38663713.65,25,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quae""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,99035660.95,1.0,IT,Pedesaan,Pernah Macet,Investasi,Emas,Tambahan Modal,491236689.89,68,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""voluptatibus""}"
UMKM/Pengusaha,,,,,,,,Layak,78490814.69,14.0,Manufaktur,Sleman,Ada,Modal Kerja,Kendaraan,Usaha Sendiri,25190129.72,67,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2019, ""atas_nama_kendaraan"": ""Purwadi Ardianto"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,29293360.72,6.0,Perdagangan,Yogyakarta Kota,Ada,Investasi,Piutang,Usaha Sendiri,420814068.91,42,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quidem""}"
UMKM/Pengusaha,,,,,,,,Layak,32182353.91,13.0,Jasa,Pusat Kota,Pernah Macet,Pembelian Aset,Persediaan,Lain-lain,257300279.7,27,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quis""}"
Pegawai,55.0,29.0,Supervisor,Kontrak,16969880.01,5.0,Ada,Pertimbangkan,,,,,,Pembelian Kendaraan,Tanah/Bangunan,Lain-lain,300844013.51,45,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""ea""}"
Pegawai,25.0,30.0,Supervisor,Outsource,20257139.88,1.0,Ada,Layak,,,,,,Lain-lain,Tidak Ada,Lain-lain,217547306.1,7,
UMKM/Pengusaha,,,,,,,,Layak,182022527.83,9.0,IT,Online,Pernah Macet,Konsumsi,Persediaan,Usaha Sendiri,369632346.27,36,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""rem""}"
UMKM/Pengusaha,,,,,,,,Layak,44886151.35,4.0,IT,Yogyakarta Kota,Tidak Ada,Modal Kerja,Piutang,Lain-lain,145538140.98,27,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""fugit""}"
UMKM/Pengusaha,,,,,,,,Tidak Layak,28201095.2,2.0,Transportasi,Online,Ada,Pembelian Aset,Deposito,Usaha Sendiri,449483280.63,54,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""est""}"
Pegawai,29.0,9.0,Supervisor,Kontrak,6194624.65,1.0,Ada,Pertimbangkan,,,,,,Lain-lain,Tanah/Bangunan,Bonus,357721354.09,15,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""consequuntur""}"
Pegawai,29.0,25.0,Supervisor,Kontrak,16368879.47,2.0,Ada,Layak,,,,,,Renovasi Rumah,Kendaraan,Bonus,255769226.6,7,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2006, ""atas_nama_kendaraan"": ""Leo Tamba, S.Psi"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,51.0,29.0,Staf Senior,Outsource,25448131.05,3.0,Pernah Macet,Pertimbangkan,,,,,,Lain-lain,Kendaraan,Lain-lain,199472806.25,66,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2000, ""atas_nama_kendaraan"": ""Dimaz Melani, M.Farm"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,183363857.25,7.0,Transportasi,Online,Pernah Macet,Modal Kerja,Persediaan,Lain-lain,393104584.45,33,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""tempore""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,175860500.56,4.0,Manufaktur,Pinggir Kota,Ada,Renovasi,Deposito,Penjualan Aset,36857906.73,49,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""repellendus""}"
Pegawai,29.0,14.0,Staf Senior,Tetap,25365157.41,3.0,Pernah Macet,Pertimbangkan,,,,,,Lain-lain,Persediaan,Gaji,47314011.42,59,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""iure""}"
Pegawai,33.0,9.0,Supervisor,Tetap,23758085.98,2.0,Tidak Ada,Layak,,,,,,Pendidikan,Tidak Ada,Lain-lain,110335905.23,72,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,42696549.31,2.0,Kerajinan,Sleman,Pernah Macet,Konsumsi,Tidak Ada,Penjualan Aset,297368956.73,35,
UMKM/Pengusaha,,,,,,,,Layak,46275960.98,14.0,Perdagangan,Pusat Kota,Ada,Pembelian Aset,Tanah/Bangunan,Tambahan Modal,258171089.86,50,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""nemo""}"
Pegawai,24.0,6.0,Staf Senior,Kontrak,25524023.41,2.0,Pernah Macet,Pertimbangkan,,,,,,Lain-lain,Kendaraan,Gaji,442834398.88,50,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2007, ""atas_nama_kendaraan"": ""Gasti Sirait"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,28.0,11.0,Administrasi,Tetap,5676005.1,2.0,Tidak Ada,Layak,,,,,,Pendidikan,Piutang,Pendapatan Lain,258499286.27,44,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""non""}"
Pegawai,59.0,14.0,Administrasi,Outsource,11500643.79,4.0,Tidak Ada,Layak,,,,,,,Piutang,,399871905.97,12,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eos""}"
UMKM/Pengusaha,,,,,,,,Layak,158724959.3,2.0,Jasa,Pedesaan,Ada,Modal Kerja,Tidak Ada,Tambahan Modal,449504537.26,49,
Pegawai,32.0,4.0,Staf Pelaksana,Outsource,11390638.25,4.0,Ada,Pertimbangkan,,,,,,,Kendaraan,,63385499.38,25,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2011, ""atas_nama_kendaraan"": ""Jayeng Usamah"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,187813361.87,13.0,Perdagangan,Pinggir Kota,Pernah Macet,Investasi,Kendaraan,Tambahan Modal,223768084.59,38,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2003, ""atas_nama_kendaraan"": ""Padmi Kusmawati"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,196021105.72,15.0,Manufaktur,Pusat Kota,Tidak Ada,Modal Kerja,Tanah/Bangunan,Penjualan Aset,196826315.62,65,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""aspernatur""}"
Pegawai,26.0,29.0,Administrasi,Tetap,19632137.9,4.0,Tidak Ada,Layak,,,,,,Lain-lain,Emas,Bonus,131301361.85,38,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""nobis""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,161836013.21,9.0,Transportasi,Pusat Kota,Pernah Macet,Konsumsi,Tidak Ada,Penjualan Aset,420575150.51,33,
Pegawai,23.0,35.0,Staf Pelaksana,Tetap,27323118.93,4.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Kendaraan,Gaji,47210511.7,71,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2004, ""atas_nama_kendaraan"": ""Dalimin Hardiansyah"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,53.0,8.0,Administrasi,Outsource,18432055.87,5.0,Tidak Ada,Layak,,,,,,,Tanah/Bangunan,,376962853.8,28,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""alias""}"
UMKM/Pengusaha,,,,,,,,Layak,97801321.76,10.0,Pertanian,Pusat Kota,Tidak Ada,Investasi,Piutang,Tambahan Modal,98673331.28,30,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""voluptatibus""}"
Pegawai,51.0,5.0,Supervisor,Tetap,13226903.84,3.0,Tidak Ada,Pertimbangkan,,,,,,Lain-lain,Tanah/Bangunan,Lain-lain,431973301.36,68,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""delectus""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,21666000.95,7.0,Transportasi,Bantul,Ada,Konsumsi,Piutang,Tambahan Modal,181528114.19,65,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quidem""}"
UMKM/Pengusaha,,,,,,,,Layak,199099766.11,15.0,Manufaktur,Yogyakarta Kota,Ada,Modal Kerja,Tanah/Bangunan,Penjualan Aset,228770107.85,10,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""porro""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,19730946.09,4.0,Kuliner,Yogyakarta Kota,Pernah Macet,Investasi,Tanah/Bangunan,Penjualan Aset,368059897.54,59,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""vel""}"
UMKM/Pengusaha,,,,,,,,Layak,86890286.16,9.0,Pertanian,Sleman,Pernah Macet,Investasi,Tanah/Bangunan,Usaha Sendiri,420902439.11,13,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""exercitationem""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,131885782.62,3.0,Perdagangan,Pinggir Kota,Ada,Renovasi,Deposito,Lain-lain,368016279.64,49,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""reiciendis""}"
UMKM/Pengusaha,,,,,,,,Layak,36007538.43,3.0,Jasa,Yogyakarta Kota,Pernah Macet,Modal Kerja,Piutang,Usaha Sendiri,133033229.66,62,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""assumenda""}"
UMKM/Pengusaha,,,,,,,,Tidak Layak,25040368.64,4.0,Manufaktur,Pinggir Kota,Pernah Macet,Renovasi,Deposito,Penjualan Aset,267942208.44,50,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""aliquam""}"
Pegawai,48.0,9.0,Administrasi,Tetap,27867175.99,1.0,Tidak Ada,Layak,,,,,,Pembelian Kendaraan,Persediaan,Lain-lain,24758375.4,28,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""explicabo""}"
Pegawai,55.0,14.0,Staf Pelaksana,Tetap,29433717.51,5.0,Pernah Macet,Pertimbangkan,,,,,,,Tanah/Bangunan,,460140930.72,36,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""laborum""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,67531893.17,6.0,Transportasi,Pusat Kota,Pernah Macet,Pembelian Aset,Deposito,Tambahan Modal,354197387.59,26,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""nulla""}"
Pegawai,30.0,35.0,Staf Pelaksana,Outsource,19273372.67,2.0,Tidak Ada,Layak,,,,,,,Emas,,177675800.23,15,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""consectetur""}"
Pegawai,49.0,19.0,Supervisor,Outsource,11612222.13,2.0,Pernah Macet,Pertimbangkan,,,,,,Lain-lain,Emas,Lain-lain,139108364.23,41,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""dolorem""}"
Pegawai,36.0,25.0,Administrasi,Outsource,28978594.36,1.0,Tidak Ada,Layak,,,,,,Renovasi Rumah,Kendaraan,Gaji,322521180.76,16,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2018, ""atas_nama_kendaraan"": ""Betania Suryatmi"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,185702989.29,12.0,Pertanian,Pusat Kota,Tidak Ada,Renovasi,Tidak Ada,Usaha Sendiri,332815218.79,19,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,111261481.45,14.0,Manufaktur,Bantul,Pernah Macet,Konsumsi,Deposito,Usaha Sendiri,82758082.84,62,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""molestias""}"
Pegawai,53.0,31.0,Supervisor,Kontrak,15973029.04,2.0,Tidak Ada,Layak,,,,,,Konsumsi,Tidak Ada,Lain-lain,352003452.41,10,
Pegawai,27.0,31.0,Administrasi,Kontrak,9803024.98,3.0,Tidak Ada,Layak,,,,,,Pembelian Kendaraan,Persediaan,Bonus,451634136.93,22,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""illum""}"
UMKM/Pengusaha,,,,,,,,Layak,148744756.34,14.0,Manufaktur,Yogyakarta Kota,Tidak Ada,Modal Kerja,Persediaan,Tambahan Modal,48267801.03,19,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eveniet""}"
Pegawai,33.0,7.0,Supervisor,Kontrak,7889803.46,2.0,Ada,Pertimbangkan,,,,,,Renovasi Rumah,Persediaan,Lain-lain,294244745.07,71,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""eveniet""}"
Pegawai,50.0,17.0,Staf Senior,Outsource,12665537.44,2.0,Ada,Layak,,,,,,Pembelian Kendaraan,Kendaraan,Gaji,37726242.98,26,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2018, ""atas_nama_kendaraan"": ""R.A. Vanesa Thamrin"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,31.0,0.0,Staf Pelaksana,Tetap,9140160.66,2.0,Tidak Ada,Layak,,,,,,Pembelian Kendaraan,Piutang,Pendapatan Lain,402641258.93,39,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quae""}"
UMKM/Pengusaha,,,,,,,,Layak,54916821.24,7.0,Pertanian,Online,Tidak Ada,Konsumsi,Tidak Ada,Lain-lain,437262791.19,54,
UMKM/Pengusaha,,,,,,,,Tidak Layak,29742724.24,4.0,Jasa,Pedesaan,Pernah Macet,Modal Kerja,Piutang,Tambahan Modal,178460139.9,63,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""maxime""}"
UMKM/Pengusaha,,,,,,,,Layak,191403841.06,4.0,Manufaktur,Yogyakarta Kota,Ada,Konsumsi,Persediaan,Penjualan Aset,179090561.67,72,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nesciunt""}"
UMKM/Pengusaha,,,,,,,,Layak,69952435.4,8.0,Manufaktur,Online,Tidak Ada,Pembelian Aset,Tanah/Bangunan,Tambahan Modal,45032299.56,28,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""sit""}"
UMKM/Pengusaha,,,,,,,,Layak,196654149.5,11.0,Perdagangan,Sleman,Tidak Ada,Renovasi,Persediaan,Lain-lain,229565043.91,11,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quas""}"
Pegawai,55.0,25.0,Staf Pelaksana,Outsource,16525901.28,1.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Emas,Pendapatan Lain,249248117.38,47,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""aperiam""}"
UMKM/Pengusaha,,,,,,,,Layak,142800620.52,10.0,Manufaktur,Yogyakarta Kota,Ada,Investasi,Persediaan,Lain-lain,357434499.79,11,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eos""}"
Pegawai,49.0,7.0,Administrasi,Kontrak,19985732.22,5.0,Ada,Pertimbangkan,,,,,,Pendidikan,Emas,Lain-lain,413537467.95,71,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""porro""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,74342891.77,2.0,Kerajinan,Online,Ada,Modal Kerja,Deposito,Usaha Sendiri,45046749.69,9,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""vero""}"
Pegawai,39.0,2.0,Staf Senior,Kontrak,5042749.5,4.0,Ada,Tidak Layak,,,,,,Pendidikan,Tidak Ada,Pendapatan Lain,187090933.59,6,
UMKM/Pengusaha,,,,,,,,Layak,89203788.83,9.0,Perdagangan,Sleman,Pernah Macet,Modal Kerja,Tanah/Bangunan,Lain-lain,98723904.09,10,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""ad""}"
UMKM/Pengusaha,,,,,,,,Layak,81917357.12,11.0,Pertanian,Sleman,Ada,Renovasi,Persediaan,Usaha Sendiri,124106624.87,11,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""hic""}"
UMKM/Pengusaha,,,,,,,,Layak,198133303.68,7.0,Jasa,Pedesaan,Pernah Macet,Modal Kerja,Piutang,Usaha Sendiri,206765735.93,58,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""aliquid""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,29597302.34,8.0,Kerajinan,Sleman,Pernah Macet,Konsumsi,Piutang,Lain-lain,82746709.81,27,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""magni""}"
Pegawai,22.0,19.0,Administrasi,Tetap,21749703.76,4.0,Ada,Layak,,,,,,Lain-lain,Piutang,Lain-lain,30475694.17,23,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""incidunt""}"
Pegawai,44.0,30.0,Administrasi,Outsource,15886894.44,0.0,Pernah Macet,Layak,,,,,,Pendidikan,Tidak Ada,Pendapatan Lain,80396032.8,61,
UMKM/Pengusaha,,,,,,,,Layak,199187432.36,4.0,Pertanian,Yogyakarta Kota,Tidak Ada,Modal Kerja,Emas,Lain-lain,355593610.76,21,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""deserunt""}"
Pegawai,28.0,21.0,Administrasi,Kontrak,18250244.84,3.0,Pernah Macet,Pertimbangkan,,,,,,,Deposito,,69149207.03,16,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""aspernatur""}"
Pegawai,43.0,17.0,Staf Pelaksana,Outsource,17971611.37,4.0,Ada,Pertimbangkan,,,,,,Urusan Pribadi,Tidak Ada,Gaji,194898321.78,19,
UMKM/Pengusaha,,,,,,,,Layak,184272828.62,14.0,Jasa,Pinggir Kota,Ada,Modal Kerja,Emas,Lain-lain,47083036.15,69,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""ut""}"
Pegawai,26.0,1.0,Supervisor,Tetap,28791793.25,4.0,Tidak Ada,Layak,,,,,,Pembelian Kendaraan,Kendaraan,Bonus,198748436.07,54,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2013, ""atas_nama_kendaraan"": ""Ir. Padma Sirait"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,59.0,35.0,Administrasi,Outsource,13728997.42,4.0,Tidak Ada,Layak,,,,,,Renovasi Rumah,Kendaraan,Pendapatan Lain,133144495.54,58,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2000, ""atas_nama_kendaraan"": ""Betania Palastri"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,42345627.18,12.0,Transportasi,Online,Tidak Ada,Investasi,Kendaraan,Tambahan Modal,80819677.05,58,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2002, ""atas_nama_kendaraan"": ""Edward Nasyiah"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,37.0,15.0,Supervisor,Kontrak,4550035.75,4.0,Ada,Pertimbangkan,,,,,,Renovasi Rumah,Emas,Bonus,381947369.24,70,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""atque""}"
Pegawai,21.0,1.0,Supervisor,Kontrak,20939190.98,3.0,Tidak Ada,Layak,,,,,,,Persediaan,,175176134.44,22,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nemo""}"
Pegawai,42.0,15.0,Supervisor,Outsource,6877529.0,4.0,Tidak Ada,Layak,,,,,,,Kendaraan,,56987252.0,24,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2022, ""atas_nama_kendaraan"": ""Taswir Damanik"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,32.0,28.0,Supervisor,Kontrak,18944314.88,4.0,Pernah Macet,Pertimbangkan,,,,,,,Tidak Ada,,308390756.69,11,
Pegawai,36.0,10.0,Supervisor,Outsource,6202207.99,1.0,Tidak Ada,Layak,,,,,,Konsumsi,Deposito,Gaji,240677249.7,33,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""laudantium""}"
Pegawai,41.0,14.0,Administrasi,Kontrak,9251030.18,5.0,Tidak Ada,Layak,,,,,,Urusan Pribadi,Kendaraan,Gaji,153128621.78,38,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2005, ""atas_nama_kendaraan"": ""Raisa Pratiwi, S.Psi"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,114947973.22,10.0,Pertanian,Bantul,Tidak Ada,Renovasi,Emas,Tambahan Modal,482106796.91,51,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""minus""}"
UMKM/Pengusaha,,,,,,,,Layak,183932249.37,6.0,Manufaktur,Pusat Kota,Ada,Konsumsi,Emas,Lain-lain,65271758.37,21,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""officiis""}"
Pegawai,32.0,20.0,Staf Senior,Outsource,24893188.41,5.0,Ada,Layak,,,,,,Pembelian Kendaraan,Emas,Pendapatan Lain,60932737.13,17,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""ratione""}"
Pegawai,52.0,12.0,Administrasi,Outsource,13059828.22,1.0,Ada,Layak,,,,,,Urusan Pribadi,Tidak Ada,Gaji,98249077.97,41,
